iata,icao,name,city,country,latitude,longitude,altitude
"AAL","EKYT","Aalborg Airport","Aalborg","Denmark","57.0927589138","9.84924316406","10"
"AAR","EKAH","Aarhus Airport","Aarhus","Denmark","56.2999992371","10.619000434899998","82"
"BLL","EKBI","Billund Airport","Billund","Denmark","55.7402992249","9.15178012848","247"
"BYR","EKLS","Læsø Airport","Laeso","Denmark","57.277198791503906","11.000100135803223","25"
"CNL","EKSN","Sindal Airport","Sindal","Denmark","57.503502","10.2294","92"
"CPH","EKCH","Copenhagen Kastrup Airport","Copenhagen","Denmark","55.617900848389","12.656000137329","17"
"EBJ","EKEB","Esbjerg Airport","Esbjerg","Denmark","55.525902","8.5534","97"
"KRP","EKKA","Karup Airport","Karup","Denmark","56.29750061035156","9.124629974365234","170"
"MRW","EKMB","Lolland Falster Maribo Airport","Maribo","Denmark","54.699299","11.4401","16"
"ODE","EKOD","Odense Airport","Odense","Denmark","55.47669982910156","10.330900192260742","56"
"RKE","EKRK","Copenhagen Roskilde Airport","Copenhagen","Denmark","55.585601806640625","12.131400108337402","146"
"RNN","EKRN","Bornholm Airport","Ronne","Denmark","55.06330108642578","14.759599685668945","52"
"SGD","EKSB","Sønderborg Airport","Soenderborg","Denmark","54.96440124511719","9.791729927062988","24"
"SKS","EKSP","Skrydstrup Air Base","Skrydstrup","Denmark","55.221048","9.26702","141"
"SQW","EKSV","Skive Airport","Skive","Denmark","56.550201416015625","9.172980308532715","74"
"STA","EKVJ","Stauning Airport","Stauning","Denmark","55.9901008605957","8.353910446166992","17"
"TED","EKTS","Thisted Airport","Thisted","Denmark","57.06880187988281","8.705220222473145","23"